# PIP_Player1 PIP_Player2 Win_Prob_Player1

# gnuplot> set dgrid3d 50,50,50
# set contour base
# splot 'pip2winning.dat' using 1:2:(($3-.1)/.8) with points pt 7 ps .3 palette
# set cntrparam bspline
# set cntrparam levels 9



54 41 0.242400
41 30 0.384800
30 36 0.684000
36 23 0.311200
23 29 0.661600
29 18 0.364000
18 9 0.176800
9 14 0.868000
69 69 0.639200
69 62 0.364000
62 61 0.677600
61 58 0.423200
58 53 0.551200
53 52 0.485600
52 41 0.424800
41 44 0.600800
44 35 0.413600
35 37 0.580000
37 30 0.487200
30 31 0.538400
31 25 0.468000
25 22 0.496800
22 20 0.615200
20 16 0.389600
16 14 0.597600
14 12 0.442400
12 8 0.511200
8 4 0.226400
4 3 0.792800
3 1 0.213600
1 1 0.900000
1 0 0.100000
92 90 0.477600
90 80 0.463200
80 83 0.573600
83 75 0.482400
75 71 0.516000
71 70 0.546400
70 68 0.500000
68 62 0.469600
62 65 0.648800
65 53 0.370400
53 60 0.684000
60 45 0.316000
45 54 0.741600
54 40 0.351200
40 44 0.624800
44 31 0.420000
31 28 0.391200
28 25 0.653600
25 23 0.364000
23 13 0.408800
13 18 0.652000
18 10 0.367200
10 13 0.712800
13 3 0.111200
3 3 0.796000
3 1 0.237600
1 1 0.900000
1 0 0.100000
108 92 0.303200
92 100 0.685600
100 88 0.380000
88 93 0.616800
93 68 0.252000
68 86 0.797600
86 44 0.108000
44 82 0.896800
82 38 0.104800
38 62 0.884000
62 33 0.122400
33 55 0.871200
55 27 0.124000
27 44 0.879200
44 20 0.111200
20 40 0.890400
40 14 0.106400
32 8 0.101600
111 94 0.343200
94 103 0.671200
103 91 0.402400
91 97 0.634400
97 84 0.341600
84 90 0.656800
90 76 0.333600
76 85 0.677600
85 66 0.268000
66 75 0.743200
75 54 0.223200
54 67 0.751200
67 47 0.208800
47 63 0.831200
63 39 0.181600
39 57 0.858400
57 32 0.159200
32 52 0.852000
52 23 0.124000
23 49 0.884000
49 19 0.138400
19 42 0.887200
42 11 0.104800
11 34 0.887200
34 7 0.116000
7 28 0.896800
84 58 0.226400
58 77 0.796000
77 53 0.250400
53 67 0.741600
67 45 0.284000
45 58 0.711200
58 34 0.237600
34 50 0.788000
50 29 0.218400
29 42 0.816800
42 20 0.164000
20 38 0.864800
38 16 0.136800
16 30 0.863200
30 10 0.128800
10 23 0.890400
23 7 0.111200
7 16 0.900000
16 4 0.100000
4 9 0.900000
9 2 0.100000
2 6 0.900000
6 0 0.100000
100 85 0.368800
85 97 0.712800
97 69 0.220000
69 77 0.701600
77 63 0.333600
63 70 0.656800
70 43 0.149600
43 62 0.844000
62 33 0.144800
33 51 0.845600
51 20 0.100000
20 42 0.898400
75 77 0.567200
77 66 0.404000
66 68 0.546400
68 61 0.509600
61 59 0.428000
59 58 0.621600
58 51 0.394400
51 50 0.631200
50 42 0.380000
42 41 0.631200
41 35 0.404000
35 36 0.687200
36 27 0.312800
27 29 0.720800
29 20 0.317600
20 23 0.770400
23 13 0.237600
13 10 0.360800
10 10 0.680800
10 6 0.324000
6 6 0.730400
6 4 0.296800
4 3 0.799200
3 2 0.231200
2 0 0.100000
119 115 0.487200
115 108 0.466400
108 105 0.514400
105 101 0.512800
101 100 0.549600
100 93 0.472800
93 96 0.645600
96 88 0.447200
88 89 0.596000
89 81 0.445600
81 82 0.605600
82 72 0.396000
72 73 0.581600
73 62 0.372000
62 65 0.626400
65 52 0.328800
52 61 0.738400
61 36 0.175200
36 53 0.826400
53 30 0.160800
30 49 0.856800
49 24 0.144800
24 43 0.871200
43 19 0.114400
19 38 0.885600
38 13 0.106400
13 30 0.896800
30 9 0.112800
118 90 0.210400
90 113 0.802400
113 84 0.204000
84 108 0.824800
108 80 0.231200
80 103 0.792800
103 72 0.204000
72 95 0.796000
95 66 0.176800
66 75 0.688800
75 63 0.364000
63 55 0.460000
55 53 0.484000
53 48 0.567200
48 45 0.392800
45 40 0.599200
40 37 0.412000
37 33 0.636000
33 30 0.463200
30 25 0.546400
25 21 0.415200
21 10 0.244000
10 18 0.807200
18 5 0.250400
5 14 0.802400
14 3 0.191200
3 8 0.832800
8 1 0.199200
1 2 0.900000
2 0 0.100000
99 98 0.591200
98 93 0.420000
93 95 0.631200
95 84 0.343200
84 92 0.717600
92 78 0.276000
78 81 0.647200
81 71 0.341600
71 75 0.696800
75 66 0.365600
66 69 0.684000
69 46 0.276000
46 57 0.676000
57 40 0.324000
40 53 0.759200
53 31 0.242400
31 45 0.791200
45 24 0.196000
24 36 0.823200
36 19 0.205600
19 30 0.791200
30 15 0.247200
15 24 0.714400
24 11 0.261600
11 21 0.765600
21 6 0.194400
6 9 0.514400
9 4 0.556000
4 4 0.612000
4 2 0.517600
2 1 0.900000
1 0 0.100000
99 76 0.244000
76 89 0.765600
89 73 0.311200
73 73 0.604000
73 69 0.509600
69 66 0.492000
66 63 0.556000
63 62 0.504800
62 53 0.452000
53 55 0.578400
55 47 0.485600
47 45 0.482400
45 38 0.538400
38 37 0.469600
37 33 0.661600
33 32 0.434400
32 30 0.636000
30 27 0.471200
27 21 0.492000
21 24 0.559200
24 16 0.431200
16 9 0.290400
9 10 0.754400
10 6 0.277600
6 5 0.802400
5 2 0.232800
2 1 0.900000
1 0 0.100000
77 98 0.826400
98 66 0.173600
66 90 0.842400
90 59 0.159200
59 86 0.868000
86 52 0.128800
52 78 0.876000
78 43 0.109600
43 71 0.892000
71 35 0.114400
35 64 0.888800
64 27 0.108000
27 56 0.893600
56 20 0.100000
20 48 0.895200
48 15 0.101600
110 86 0.248800
86 107 0.794400
107 77 0.207200
77 96 0.768800
96 69 0.229600
69 80 0.703200
80 61 0.293600
61 73 0.712800
73 50 0.228000
50 64 0.776800
64 43 0.215200
43 57 0.784800
57 33 0.223200
33 47 0.778400
47 28 0.234400
28 41 0.810400
41 24 0.237600
24 36 0.836000
36 21 0.204000
21 31 0.836000
31 16 0.181600
16 24 0.850400
24 10 0.132000
10 21 0.900000
21 6 0.100000
6 17 0.900000
2 11 0.900000
68 81 0.736800
81 62 0.250400
62 74 0.751200
74 42 0.128800
42 68 0.882400
